antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Effective Java (2nd Edition)'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'A Beginner’s Guide'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'A Beginner’s Guide'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java For Dummies'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'A Beginner’s Guide'}),frozenset({'Java For Dummies'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java: The Complete Reference'}),frozenset({'A Beginner’s Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'A Beginner’s Guide'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beginning Programming with Java'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Head First Java 2nd Edition'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Head First Java 2nd Edition'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Java For Dummies'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java For Dummies'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java: The Complete Reference'}),frozenset({'Android Programming: The Big Nerd Ranch'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Android Programming: The Big Nerd Ranch'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'C++ Programming in Easy Steps'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beginning Programming with Java'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beginning Programming with Java'}),frozenset({'Head First Java 2nd Edition'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Head First Java 2nd Edition'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java 8 Pocket Guide'}),frozenset({'Beginning Programming with Java'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Beginning Programming with Java'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'C++ Programming in Easy Steps'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Effective Java (2nd Edition)'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'C++ Programming in Easy Steps'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java 8 Pocket Guide'}),frozenset({'C++ Programming in Easy Steps'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'C++ Programming in Easy Steps'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Effective Java (2nd Edition)'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java 8 Pocket Guide'}),frozenset({'Effective Java (2nd Edition)'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Effective Java (2nd Edition)'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java: The Complete Reference'}),frozenset({'HTML and CSS: Design and Build Websites'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'HTML and CSS: Design and Build Websites'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java 8 Pocket Guide'}),frozenset({'Head First Java 2nd Edition'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Head First Java 2nd Edition'}),frozenset({'Java 8 Pocket Guide'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Head First Java 2nd Edition'}),frozenset({'Java For Dummies'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java For Dummies'}),frozenset({'Head First Java 2nd Edition'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Java: The Complete Reference'}),frozenset({'Java For Dummies'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
frozenset({'Java For Dummies'}),frozenset({'Java: The Complete Reference'}),0.5,0.5,0.4,0.8,1.6,1.0,0.15000000000000002,2.5000000000000004,0.7500000000000001,0.6666666666666667,0.6000000000000001,0.8
"frozenset({'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites'})",frozenset({'A Beginner’s Guide'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Android Programming: The Big Nerd Ranch', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Android Programming: The Big Nerd Ranch', 'A Beginner’s Guide'})",frozenset({'Java For Dummies'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Java For Dummies', 'A Beginner’s Guide'})",frozenset({'Android Programming: The Big Nerd Ranch'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch'})",frozenset({'A Beginner’s Guide'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Android Programming: The Big Nerd Ranch', 'A Beginner’s Guide'})",frozenset({'Java: The Complete Reference'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Beginning Programming with Java', 'HTML and CSS: Design and Build Websites'})",frozenset({'A Beginner’s Guide'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Beginning Programming with Java', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Beginning Programming with Java', 'A Beginner’s Guide'})",frozenset({'Head First Java 2nd Edition'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Head First Java 2nd Edition', 'A Beginner’s Guide'})",frozenset({'Beginning Programming with Java'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'C++ Programming in Easy Steps', 'A Beginner’s Guide'})",frozenset({'Effective Java (2nd Edition)'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Effective Java (2nd Edition)', 'A Beginner’s Guide'})",frozenset({'C++ Programming in Easy Steps'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'C++ Programming in Easy Steps', 'HTML and CSS: Design and Build Websites'})",frozenset({'A Beginner’s Guide'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'C++ Programming in Easy Steps', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'HTML and CSS: Design and Build Websites', 'Effective Java (2nd Edition)'})",frozenset({'A Beginner’s Guide'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})",frozenset({'Effective Java (2nd Edition)'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'Effective Java (2nd Edition)', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.3,0.5,0.3,1.0,2.0,1.0,0.15,inf,0.7142857142857143,0.6,1.0,0.8
frozenset({'HTML and CSS: Design and Build Websites'}),"frozenset({'Effective Java (2nd Edition)', 'A Beginner’s Guide'})",0.5,0.3,0.3,0.6,2.0,1.0,0.15,1.7499999999999998,1.0,0.6,0.4285714285714286,0.8
frozenset({'Effective Java (2nd Edition)'}),"frozenset({'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'A Beginner’s Guide'}),"frozenset({'HTML and CSS: Design and Build Websites', 'Effective Java (2nd Edition)'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
"frozenset({'Java: The Complete Reference', 'Effective Java (2nd Edition)'})",frozenset({'A Beginner’s Guide'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Effective Java (2nd Edition)', 'A Beginner’s Guide'})",frozenset({'Java: The Complete Reference'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'HTML and CSS: Design and Build Websites', 'Head First Java 2nd Edition'})",frozenset({'A Beginner’s Guide'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Head First Java 2nd Edition', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'HTML and CSS: Design and Build Websites', 'Java For Dummies'})",frozenset({'A Beginner’s Guide'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Java For Dummies', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites'})",frozenset({'A Beginner’s Guide'}),0.3,0.5,0.3,1.0,2.0,1.0,0.15,inf,0.7142857142857143,0.6,1.0,0.8
"frozenset({'Java: The Complete Reference', 'A Beginner’s Guide'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})",frozenset({'Java: The Complete Reference'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
frozenset({'Java: The Complete Reference'}),"frozenset({'HTML and CSS: Design and Build Websites', 'A Beginner’s Guide'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'HTML and CSS: Design and Build Websites'}),"frozenset({'Java: The Complete Reference', 'A Beginner’s Guide'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'A Beginner’s Guide'}),"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites'})",0.5,0.3,0.3,0.6,2.0,1.0,0.15,1.7499999999999998,1.0,0.6,0.4285714285714286,0.8
"frozenset({'Java: The Complete Reference', 'Java For Dummies'})",frozenset({'A Beginner’s Guide'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'Java: The Complete Reference', 'A Beginner’s Guide'})",frozenset({'Java For Dummies'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'Java For Dummies', 'A Beginner’s Guide'})",frozenset({'Java: The Complete Reference'}),0.3,0.5,0.3,1.0,2.0,1.0,0.15,inf,0.7142857142857143,0.6,1.0,0.8
frozenset({'Java: The Complete Reference'}),"frozenset({'Java For Dummies', 'A Beginner’s Guide'})",0.5,0.3,0.3,0.6,2.0,1.0,0.15,1.7499999999999998,1.0,0.6,0.4285714285714286,0.8
frozenset({'Java For Dummies'}),"frozenset({'Java: The Complete Reference', 'A Beginner’s Guide'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'A Beginner’s Guide'}),"frozenset({'Java: The Complete Reference', 'Java For Dummies'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java'})",frozenset({'Head First Java 2nd Edition'}),0.3,0.5,0.3,1.0,2.0,1.0,0.15,inf,0.7142857142857143,0.6,1.0,0.8
"frozenset({'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition'})",frozenset({'Beginning Programming with Java'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
"frozenset({'Beginning Programming with Java', 'Head First Java 2nd Edition'})",frozenset({'Android Programming: The Big Nerd Ranch'}),0.4,0.5,0.3,0.7499999999999999,1.4999999999999998,1.0,0.09999999999999998,1.9999999999999991,0.5555555555555555,0.4999999999999999,0.4999999999999998,0.6749999999999999
frozenset({'Android Programming: The Big Nerd Ranch'}),"frozenset({'Beginning Programming with Java', 'Head First Java 2nd Edition'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'Beginning Programming with Java'}),"frozenset({'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition'})",0.5,0.4,0.3,0.6,1.4999999999999998,1.0,0.09999999999999998,1.4999999999999998,0.6666666666666665,0.4999999999999999,0.33333333333333326,0.6749999999999999
frozenset({'Head First Java 2nd Edition'}),"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java'})",0.5,0.3,0.3,0.6,2.0,1.0,0.15,1.7499999999999998,1.0,0.6,0.4285714285714286,0.8
"frozenset({'Java 8 Pocket Guide', 'Android Programming: The Big Nerd Ranch'})",frozenset({'Beginning Programming with Java'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java'})",frozenset({'Java 8 Pocket Guide'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java'})",frozenset({'Java For Dummies'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Beginning Programming with Java', 'Java For Dummies'})",frozenset({'Android Programming: The Big Nerd Ranch'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Android Programming: The Big Nerd Ranch', 'HTML and CSS: Design and Build Websites'})",frozenset({'Java For Dummies'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'HTML and CSS: Design and Build Websites', 'Java For Dummies'})",frozenset({'Android Programming: The Big Nerd Ranch'}),0.2,0.5,0.2,1.0,2.0,1.0,0.1,inf,0.6249999999999999,0.4000000000000001,1.0,0.7
"frozenset({'Java: The Complete Reference', 'Android Programming: The Big Nerd Ranch'})",frozenset({'HTML and CSS: Design and Build Websites'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Java: The Complete Reference', 'HTML and CSS: Design and Build Websites'})",frozenset({'Android Programming: The Big Nerd Ranch'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
